"geneID","proteinID","descrip"
"BKA90DRAFT_158626","KAE8170376.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_38528","KAE8170377.1","mannose-1-phosphate guanyltransferase"
"BKA90DRAFT_140974","KAE8170378.1","Rhodanese-like domain-containing protein"
"BKA90DRAFT_140977","KAE8170379.1","hypothetical protein"
"BKA90DRAFT_140979","KAE8170380.1","general substrate transporter"
"BKA90DRAFT_140985","KAE8170381.1","hypothetical protein"
"BKA90DRAFT_140996","KAE8170382.1","hypothetical protein"
"BKA90DRAFT_141002","KAE8170299.1","Gar1/Naf1 RNA binding region-domain-containing protein"
"BKA90DRAFT_141005","KAE8170300.1","hypothetical protein"
"BKA90DRAFT_141006","KAE8170301.1","cytoplasmic tRNA 2-thiolation protein 2"
"BKA90DRAFT_102227","KAE8170302.1","hypothetical protein"
"BKA90DRAFT_141008","KAE8170303.1","DASH complex subunit Ask1-domain-containing protein"
"BKA90DRAFT_102230","KAE8170304.1","Sybindin-like protein"
"BKA90DRAFT_141011","KAE8170305.1","acyltransferase ChoActase/COT/CPT"
"BKA90DRAFT_141012","KAE8170306.1","hypothetical protein"
"BKA90DRAFT_38709","KAE8170307.1","hypothetical protein"
"BKA90DRAFT_175936","KAE8170308.1","ClpP/crotonase-like domain-containing protein"
"BKA90DRAFT_141017","KAE8170309.1","Gryzun, putative trafficking through golgi-domain-containing protein"
"BKA90DRAFT_141019","KAE8170310.1","hypothetical protein"
"BKA90DRAFT_141021","KAE8170311.1","chromatin modification-related protein EAF7"
"BKA90DRAFT_141022","KAE8170312.1","hypothetical protein"
"BKA90DRAFT_102252","KAE8170313.1","adenylate cyclase associated N terminal-domain-containing protein"
"BKA90DRAFT_141025","KAE8170314.1","hypothetical protein"
"BKA90DRAFT_141026","KAE8170315.1","NOL1/NOP2/sun family-domain-containing protein"
"BKA90DRAFT_141027","KAE8170316.1","Gcd10p family-domain-containing protein"
"BKA90DRAFT_141028","KAE8170317.1","luciferase-like domain-containing protein"
"BKA90DRAFT_102265","KAE8170318.1","hypothetical protein"
"BKA90DRAFT_141031","KAE8170319.1","hypothetical protein"
"BKA90DRAFT_141032","KAE8170320.1","SART-1 protein"
"BKA90DRAFT_141033","KAE8170321.1","triose-phosphate transporter family-domain-containing protein"
"BKA90DRAFT_141034","KAE8170322.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_141036","KAE8170323.1","kinase-like domain-containing protein"
"BKA90DRAFT_141039","KAE8170324.1","t-SNARE"
"BKA90DRAFT_38824","KAE8170325.1","heterokaryon incompatibility protein Het-C-domain-containing protein"
"BKA90DRAFT_141045","KAE8170326.1","ribonuclease H-like domain-containing protein"
"BKA90DRAFT_141048","KAE8170327.1","ferric reductase NAD binding domain-containing protein"
"BKA90DRAFT_141049","KAE8170328.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_141050","KAE8170329.1","protein AF-9"
"BKA90DRAFT_141052","KAE8170330.1","hypothetical protein"
"BKA90DRAFT_141053","KAE8170331.1","SBF-like CPA transporter family-domain-containing protein"
"BKA90DRAFT_141054","KAE8170332.1","peptidase S24/S26A/S26B/S26C"
"BKA90DRAFT_141055","KAE8170333.1","54S ribosomal protein L4, mitochondrial"
"BKA90DRAFT_141056","KAE8170334.1","hypothetical protein"
"BKA90DRAFT_164220","KAE8170335.1","lysophospholipase NTE1"
"BKA90DRAFT_141059","KAE8170336.1","hypothetical protein"
"BKA90DRAFT_102311","KAE8170337.1","hypothetical protein"
"BKA90DRAFT_141061","KAE8170338.1","nuclear pore RNA shuttling protein Mtr2"
"BKA90DRAFT_141064","KAE8170339.1","ATP-NAD kinase-like domain-containing protein"
"BKA90DRAFT_170272","KAE8170340.1","hypothetical protein"
"BKA90DRAFT_141069","KAE8170341.1","hemolysin-III related-domain-containing protein"
"BKA90DRAFT_148593","KAE8170342.1","hypothetical protein"
"BKA90DRAFT_170275","KAE8170343.1","hypothetical protein"
"BKA90DRAFT_141073","KAE8170344.1","hypothetical protein"
"BKA90DRAFT_141075","KAE8170345.1","ribosomal protein L38e"
"BKA90DRAFT_141076","KAE8170264.1","hypothetical protein"
"BKA90DRAFT_154521","KAE8170265.1","kinase domain-containing protein"
"BKA90DRAFT_141081","KAE8170266.1","hypothetical protein"
"BKA90DRAFT_38974","KAE8170267.1","hypothetical protein"
"BKA90DRAFT_38975","KAE8170268.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_141086","KAE8170269.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_116580","KAE8170270.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_130759","KAE8170271.1","hypothetical protein"
"BKA90DRAFT_141092","KAE8170272.1","Sodium/hydrogen exchanger family-domain-containing protein"
"BKA90DRAFT_116586","KAE8170273.1","DASH complex subunit DAD4"
"BKA90DRAFT_141097","KAE8170274.1","nucleolar RNA-binding protein"
"BKA90DRAFT_141099","KAE8170275.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_141102","KAE8170276.1","hypothetical protein"
"BKA90DRAFT_148607","KAE8170277.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_39070","KAE8170278.1","ubiquitin-conjugating enzyme/RWD-like protein"
"BKA90DRAFT_141110","KAE8170279.1","hypothetical protein"
"BKA90DRAFT_141116","KAE8170280.1","Polyadenylate-binding protein, cytoplasmic and nuclear"
"BKA90DRAFT_39110","KAE8170281.1","hypothetical protein"
"BKA90DRAFT_141123","KAE8170282.1","hypothetical protein"
"BKA90DRAFT_154536","KAE8170283.1","amino acid permease/ SLC12A domain-containing protein"
"BKA90DRAFT_130772","KAE8170284.1","Isocitrate/isopropylmalate dehydrogenase-domain-containing protein"
"BKA90DRAFT_141132","KAE8170285.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_102385","KAE8170286.1","SNF2 family N-terminal domain-containing protein"
"BKA90DRAFT_130775","KAE8170287.1","hypothetical protein"
"BKA90DRAFT_141135","KAE8170288.1","NADP-dependent oxidoreductase domain-containing protein"
"BKA90DRAFT_164252","KAE8170289.1","hypothetical protein"
"BKA90DRAFT_141137","KAE8170290.1","hypothetical protein"
"BKA90DRAFT_141140","KAE8170291.1","thiamine diphosphate-binding protein"
"BKA90DRAFT_141141","KAE8170292.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_141143","KAE8170293.1","hypothetical protein"
"BKA90DRAFT_141144","KAE8170294.1","10 TM acyl transferase domain found in Cas1p-domain-containing protein"
"BKA90DRAFT_39198","KAE8170295.1","hypothetical protein"
"BKA90DRAFT_141146","KAE8170296.1","hypothetical protein"
"BKA90DRAFT_158672","KAE8170297.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_39204","KAE8170298.1","hypothetical protein"
"BKA90DRAFT_130786","KAE8170219.1","hypothetical protein"
"BKA90DRAFT_176004","KAE8170220.1","hypothetical protein"
"BKA90DRAFT_141155","KAE8170221.1","protein SYM1"
"BKA90DRAFT_141157","KAE8170222.1","GPI-anchored wall transfer protein 1"
"BKA90DRAFT_141158","KAE8170223.1","hypothetical protein"
"BKA90DRAFT_141160","KAE8170224.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_141159","KAE8170225.1","DNA repair protein endonuclease SAE2/CtIP C-terminus-domain-containing protein"
"BKA90DRAFT_39285","KAE8170226.1","hypothetical protein"
"BKA90DRAFT_141166","KAE8170227.1","Pre-mRNA-splicing factor CWC26"
"BKA90DRAFT_141168","KAE8170228.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_141170","KAE8170229.1","ATP-dependent RNA helicase CHL1"
"BKA90DRAFT_141171","KAE8170230.1","Glyoxylate pathway regulator"
"BKA90DRAFT_116673","KAE8170231.1","hypothetical protein"
"BKA90DRAFT_141176","KAE8170232.1","peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase"
"BKA90DRAFT_141177","KAE8170233.1","hypothetical protein"
"BKA90DRAFT_158682","KAE8170234.1","hypothetical protein"
"BKA90DRAFT_148644","KAE8170235.1","hypothetical protein"
"BKA90DRAFT_39357","KAE8170236.1","hypothetical protein"
"BKA90DRAFT_116682","KAE8170237.1","hypothetical protein"
"BKA90DRAFT_102449","KAE8170238.1","hypothetical protein"
"BKA90DRAFT_141192","KAE8170239.1","dihydroxy-acid/6-phosphogluconate dehydratase"
"BKA90DRAFT_141194","KAE8170240.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_141195","KAE8170241.1","hypothetical protein"
"BKA90DRAFT_141197","KAE8170242.1","hypothetical protein"
"BKA90DRAFT_141198","KAE8170243.1","Dolichyl-phosphate-mannose-protein mannosyltransferase-domain-containing protein"
"BKA90DRAFT_39389","KAE8170244.1","nucleoside transporter-domain-containing protein"
"BKA90DRAFT_39390","KAE8170245.1","mediator of RNA polymerase II transcription subunit 20"
"BKA90DRAFT_141201","KAE8170246.1","GPR1/FUN34/yaaH family-domain-containing protein"
"BKA90DRAFT_141202","KAE8170247.1","hypothetical protein"
"BKA90DRAFT_141203","KAE8170248.1","hypothetical protein"
"BKA90DRAFT_141204","KAE8170249.1","beta-lactamase-like protein"
"BKA90DRAFT_141205","KAE8170250.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_141206","KAE8170251.1","cytidine deaminase-like protein"
"BKA90DRAFT_141208","KAE8170252.1","hypothetical protein"
"BKA90DRAFT_141209","KAE8170253.1","hypothetical protein"
"BKA90DRAFT_141210","KAE8170254.1","XRN 5'-3' exonuclease N-terminus-domain-containing protein"
"BKA90DRAFT_141212","KAE8170255.1","hypothetical protein"
"BKA90DRAFT_164295","KAE8170256.1","TIP41-like family-domain-containing protein"
"BKA90DRAFT_141214","KAE8170257.1","ERV/ALR sulfhydryl oxidase domain-containing protein"
"BKA90DRAFT_141215","KAE8170258.1","ATP-utilizing chromatin assembly and remodelling N-terminal-domain-containing protein"
"BKA90DRAFT_141217","KAE8170259.1","DHS-like NAD/FAD-binding domain-containing protein"
"BKA90DRAFT_141219","KAE8170260.1","fungal-specific transcription factor domain-containing protein"
"BKA90DRAFT_39457","KAE8170261.1","rab-GTPase-TBC domain-containing protein"
"BKA90DRAFT_164300","KAE8170262.1","Golgi CORVET complex core vacuolar protein 8-domain-containing protein"
"BKA90DRAFT_170343","KAE8170263.1","hypothetical protein"
"BKA90DRAFT_141224","KAE8170183.1","RTC4-like domain-containing protein"
"BKA90DRAFT_141226","KAE8170184.1","NADP-dependent oxidoreductase domain-containing protein"
"BKA90DRAFT_170347","KAE8170185.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_141228","KAE8170186.1","serine/threonine phosphatase Pph21p"
"BKA90DRAFT_141229","KAE8170187.1","nucleoside phosphatase family-domain-containing protein"
"BKA90DRAFT_39495","KAE8170188.1","hypothetical protein"
"BKA90DRAFT_39494","KAE8170189.1","acyl-CoA N-acyltransferase"
"BKA90DRAFT_141232","KAE8170190.1","Zinc/iron permease"
"BKA90DRAFT_141234","KAE8170191.1","endoplasmic reticulum-based factor for assembly of V-ATPase-domain-containing protein"
"BKA90DRAFT_141239","KAE8170192.1","hypothetical protein"
"BKA90DRAFT_141240","KAE8170193.1","HAD-like domain-containing protein"
"BKA90DRAFT_141242","KAE8170194.1","hypothetical protein"
"BKA90DRAFT_141243","KAE8170195.1","hypothetical protein"
"BKA90DRAFT_130841","KAE8170196.1","hypothetical protein"
"BKA90DRAFT_130842","KAE8170197.1","Oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase"
"BKA90DRAFT_116780","KAE8170198.1","tetrapyrrole methylase"
"BKA90DRAFT_141252","KAE8170199.1","beta-lactamase/transpeptidase-like protein"
"BKA90DRAFT_164318","KAE8170200.1","hypothetical protein"
"BKA90DRAFT_141256","KAE8170201.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_141258","KAE8170202.1","MCM2/3/5 family-domain-containing protein"
"BKA90DRAFT_141260","KAE8170203.1","histone chaperone ASF1"
"BKA90DRAFT_141262","KAE8170204.1","RIC1-domain-containing protein"
"BKA90DRAFT_141264","KAE8170205.1","hypothetical protein"
"BKA90DRAFT_116805","KAE8170206.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_141268","KAE8170207.1","hypothetical protein"
"BKA90DRAFT_39615","KAE8170208.1","hypothetical protein"
"BKA90DRAFT_141270","KAE8170209.1","hypothetical protein"
"BKA90DRAFT_154617","KAE8170210.1","hypothetical protein"
"BKA90DRAFT_88100","KAE8170211.1","hypothetical protein"
"BKA90DRAFT_154619","KAE8170212.1","hypothetical protein"
"BKA90DRAFT_141272","KAE8170213.1","Prefoldin beta-like protein"
"BKA90DRAFT_39636","KAE8170214.1","PP-loop family-domain-containing protein"
"BKA90DRAFT_141278","KAE8170215.1","A1 cistron-splicing factor"
"BKA90DRAFT_39647","KAE8170216.1","hypothetical protein"
"BKA90DRAFT_158712","KAE8170217.1","hypothetical protein"
"BKA90DRAFT_158718","KAE8170218.1","glycoside hydrolase superfamily"
"BKA90DRAFT_170375","KAE8170156.1","sterol-sensing domain of SREBP cleavage-activation-domain-containing protein"
"BKA90DRAFT_176071","KAE8170157.1","hypothetical protein"
"BKA90DRAFT_141292","KAE8170158.1","subunit NUIM of protein NADH:Ubiquinone oxidoreductase"
"BKA90DRAFT_141293","KAE8170159.1","hypothetical protein"
"BKA90DRAFT_141294","KAE8170160.1","hypothetical protein"
"BKA90DRAFT_154630","KAE8170161.1","dual specificity phosphatase"
"BKA90DRAFT_102606","KAE8170162.1","armadillo-type protein"
"BKA90DRAFT_141302","KAE8170163.1","hypothetical protein"
"BKA90DRAFT_141303","KAE8170164.1","hypothetical protein"
"BKA90DRAFT_141304","KAE8170165.1","hypothetical protein"
"BKA90DRAFT_176079","KAE8170166.1","peroxisomal biogenesis factor 9"
"BKA90DRAFT_158734","KAE8170167.1","hypothetical protein"
"BKA90DRAFT_141308","KAE8170168.1","hypothetical protein"
"BKA90DRAFT_141311","KAE8170169.1","class I glutamine amidotransferase-like protein"
"BKA90DRAFT_141312","KAE8170170.1","hypothetical protein"
"BKA90DRAFT_39754","KAE8170171.1","hypothetical protein"
"BKA90DRAFT_141316","KAE8170172.1","hypothetical protein"
"BKA90DRAFT_39760","KAE8170173.1","Rad9-domain-containing protein"
"BKA90DRAFT_116859","KAE8170174.1","hypothetical protein"
"BKA90DRAFT_39788","KAE8170175.1","hypothetical protein"
"BKA90DRAFT_141325","KAE8170176.1","glutamine synthetase"
"BKA90DRAFT_148725","KAE8170177.1","hypothetical protein"
"BKA90DRAFT_170395","KAE8170178.1","hypothetical protein"
"BKA90DRAFT_141336","KAE8170179.1","aquaporin-like protein"
"BKA90DRAFT_141337","KAE8170180.1","hypothetical protein"
"BKA90DRAFT_141341","KAE8170181.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_141343","KAE8170182.1","leukotriene A-4 hydrolase"
"BKA90DRAFT_141345","KAE8170124.1","NUC173 domain-containing protein"
"BKA90DRAFT_158743","KAE8170125.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_141347","KAE8170126.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_141348","KAE8170127.1","hypothetical protein"
"BKA90DRAFT_141349","KAE8170128.1","hypothetical protein"
"BKA90DRAFT_141351","KAE8170129.1","hypothetical protein"
"BKA90DRAFT_176100","KAE8170130.1","hypothetical protein"
"BKA90DRAFT_141354","KAE8170131.1","hypothetical protein"
"BKA90DRAFT_164363","KAE8170132.1","hypothetical protein"
"BKA90DRAFT_130900","KAE8170133.1","hypothetical protein"
"BKA90DRAFT_141359","KAE8170134.1","Six-hairpin glycosidase-like protein"
"BKA90DRAFT_102674","KAE8170135.1","chaperonin 10-like protein"
"BKA90DRAFT_141364","KAE8170136.1","hypothetical protein"
"BKA90DRAFT_130904","KAE8170137.1","hypothetical protein"
"BKA90DRAFT_141366","KAE8170138.1","hypothetical protein"
"BKA90DRAFT_130906","KAE8170139.1","hypothetical protein"
"BKA90DRAFT_40062","KAE8170140.1","hypothetical protein"
"BKA90DRAFT_141371","KAE8170141.1","hypothetical protein"
"BKA90DRAFT_130908","KAE8170142.1","hypothetical protein"
"BKA90DRAFT_130909","KAE8170143.1","hypothetical protein"
"BKA90DRAFT_141382","KAE8170144.1","permease family-domain-containing protein"
"BKA90DRAFT_40157","KAE8170145.1","hypothetical protein"
"BKA90DRAFT_170418","KAE8170146.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_40173","KAE8170147.1","hypothetical protein"
"BKA90DRAFT_141388","KAE8170148.1","Mss4-like protein"
"BKA90DRAFT_158759","KAE8170149.1","hypothetical protein"
"BKA90DRAFT_141392","KAE8170150.1","iron-sulfur clusters transporter ATM1, mitochondrial"
"BKA90DRAFT_141393","KAE8170151.1","hypothetical protein"
"BKA90DRAFT_141394","KAE8170152.1","HIT-like domain-containing protein"
"BKA90DRAFT_141395","KAE8170153.1","hypothetical protein"
"BKA90DRAFT_141397","KAE8170154.1","ferric reductase NAD binding domain-containing protein"
"BKA90DRAFT_141401","KAE8170155.1","hypothetical protein"
"BKA90DRAFT_141402","KAE8170095.1","hypothetical protein"
"BKA90DRAFT_141403","KAE8170096.1","thioredoxin-like protein"
"BKA90DRAFT_102718","KAE8170097.1","hypothetical protein"
"BKA90DRAFT_102719","KAE8170098.1","hypothetical protein"
"BKA90DRAFT_141408","KAE8170099.1","hypothetical protein"
"BKA90DRAFT_40257","KAE8170100.1","hypothetical protein"
"BKA90DRAFT_141410","KAE8170101.1","alpha-N-methyltransferase NTM1"
"BKA90DRAFT_141411","KAE8170102.1","RecF/RecN/SMC"
"BKA90DRAFT_141413","KAE8170103.1","DnaJ domain-containing protein"
"BKA90DRAFT_154683","KAE8170104.1","hypothetical protein"
"BKA90DRAFT_141416","KAE8170105.1","hypothetical protein"
"BKA90DRAFT_164391","KAE8170106.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_141419","KAE8170107.1","hypothetical protein"
"BKA90DRAFT_102743","KAE8170108.1","hypothetical protein"
"BKA90DRAFT_141423","KAE8170109.1","hypothetical protein"
"BKA90DRAFT_141424","KAE8170110.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_141425","KAE8170111.1","hypothetical protein"
"BKA90DRAFT_141429","KAE8170112.1","hypothetical protein"
"BKA90DRAFT_158777","KAE8170113.1","hypothetical protein"
"BKA90DRAFT_158779","KAE8170114.1","hypothetical protein"
"BKA90DRAFT_141431","KAE8170115.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_40358","KAE8170116.1","hypothetical protein"
"BKA90DRAFT_141435","KAE8170117.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_102766","KAE8170118.1","tRNA synthetases class I-domain-containing protein"
"BKA90DRAFT_141439","KAE8170119.1","hypothetical protein"
"BKA90DRAFT_158783","KAE8170120.1","hypothetical protein"
"BKA90DRAFT_141442","KAE8170121.1","hypothetical protein"
"BKA90DRAFT_76296","KAE8170122.1","heat shock protein 70"
"BKA90DRAFT_141445","KAE8170123.1","OPT oligopeptide transporter protein-domain-containing protein"
"BKA90DRAFT_40437","KAE8170060.1","hypothetical protein"
"BKA90DRAFT_102778","KAE8170061.1","hypothetical protein"
"BKA90DRAFT_141456","KAE8170062.1","hypothetical protein"
"BKA90DRAFT_154705","KAE8170063.1","hypothetical protein"
"BKA90DRAFT_170454","KAE8170064.1","amino acid permease-domain-containing protein"
"BKA90DRAFT_141458","KAE8170065.1","Manganese/iron superoxide dismutase"
"BKA90DRAFT_141462","KAE8170066.1","Pal1 cell morphology protein-domain-containing protein"
"BKA90DRAFT_158812","KAE8170067.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_141467","KAE8170068.1","GNS1/SUR4 family-domain-containing protein"
"BKA90DRAFT_141470","KAE8170069.1","CNH domain-containing protein"
"BKA90DRAFT_141472","KAE8170070.1","actin-related protein 2/3 complex subunit 3"
"BKA90DRAFT_170461","KAE8170071.1","hypothetical protein"
"BKA90DRAFT_141477","KAE8170072.1","hypothetical protein"
"BKA90DRAFT_141480","KAE8170073.1","hypothetical protein"
"BKA90DRAFT_141483","KAE8170074.1","acyl-CoA N-acyltransferase"
"BKA90DRAFT_88390","KAE8170075.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_141487","KAE8170076.1","nucleotide-binding respiratory complex I subunit"
"BKA90DRAFT_117044","KAE8170077.1","peptidase M24, structural domain-containing protein"
"BKA90DRAFT_130966","KAE8170078.1","glutathione S-transferase"
"BKA90DRAFT_102824","KAE8170079.1","HAD-like domain-containing protein"
"BKA90DRAFT_141491","KAE8170080.1","hypothetical protein"
"BKA90DRAFT_141492","KAE8170081.1","band 7 family-domain-containing protein"
"BKA90DRAFT_102833","KAE8170082.1","40S ribosomal protein S19"
"BKA90DRAFT_117061","KAE8170083.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_141497","KAE8170084.1","hypothetical protein"
"BKA90DRAFT_141498","KAE8170085.1","hypothetical protein"
"BKA90DRAFT_141502","KAE8170086.1","KNR4/SMI1"
"BKA90DRAFT_141503","KAE8170087.1","Di-sulfide bridge nucleocytoplasmic transport domain-containing protein"
"BKA90DRAFT_141504","KAE8170088.1","hypothetical protein"
"BKA90DRAFT_141505","KAE8170089.1","hypothetical protein"
"BKA90DRAFT_141506","KAE8170090.1","hypothetical protein"
"BKA90DRAFT_141508","KAE8170091.1","adaptin N terminal region-domain-containing protein"
"BKA90DRAFT_158840","KAE8170092.1","cytochrome P450"
"BKA90DRAFT_141510","KAE8170093.1","armadillo-type protein"
"BKA90DRAFT_40740","KAE8170094.1","GPI transamidase component PIG-T"
"BKA90DRAFT_141511","KAE8170020.1","ferric reductase like transmembrane component-domain-containing protein"
"BKA90DRAFT_141512","KAE8170021.1","hypothetical protein"
"BKA90DRAFT_141514","KAE8170022.1","ATP11 protein-domain-containing protein"
"BKA90DRAFT_141515","KAE8170023.1","Prephenate dehydratase-domain-containing protein"
"BKA90DRAFT_141518","KAE8170024.1","hypothetical protein"
"BKA90DRAFT_141519","KAE8170025.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_148824","KAE8170026.1","L-Aspartase-like protein"
"BKA90DRAFT_40792","KAE8170027.1","mediator of RNA polymerase II transcription subunit 7"
"BKA90DRAFT_141522","KAE8170028.1","hypothetical protein"
"BKA90DRAFT_40794","KAE8170029.1","hypothetical protein"
"BKA90DRAFT_141529","KAE8170030.1","cornichon"
"BKA90DRAFT_141530","KAE8170031.1","translocation protein SEC62"
"BKA90DRAFT_141531","KAE8170032.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_141532","KAE8170033.1","kinase-like domain-containing protein"
"BKA90DRAFT_40857","KAE8170034.1","calponin homology domain-containing protein"
"BKA90DRAFT_40884","KAE8170035.1","3-keto-steroid reductase"
"BKA90DRAFT_141537","KAE8170036.1","Aspartate/glutamate/uridylate kinase"
"BKA90DRAFT_141540","KAE8170037.1","3-ketodihydrosphingosine reductase TSC10"
"BKA90DRAFT_154752","KAE8170038.1","hypothetical protein"
"BKA90DRAFT_154753","KAE8170039.1","ribosomal protein L17"
"BKA90DRAFT_40969","KAE8170040.1","putative death-receptor fusion protein-domain-containing protein"
"BKA90DRAFT_176193","KAE8170041.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_141547","KAE8170042.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_141548","KAE8170043.1","DNA replication complex GINS protein SLD5"
"BKA90DRAFT_141549","KAE8170044.1","hypothetical protein"
"BKA90DRAFT_117147","KAE8170045.1","cation transport protein-domain-containing protein"
"BKA90DRAFT_141553","KAE8170046.1","CWC16 protein"
"BKA90DRAFT_141554","KAE8170047.1","hypothetical protein"
"BKA90DRAFT_40994","KAE8170048.1","sulfate transporter family-domain-containing protein"
"BKA90DRAFT_141556","KAE8170049.1","hypothetical protein"
"BKA90DRAFT_141558","KAE8170050.1","glycosyl hydrolase family 81-domain-containing protein"
"BKA90DRAFT_117161","KAE8170051.1","telomere repeat binding factor-domain-containing protein"
"BKA90DRAFT_141562","KAE8170052.1","Snf7-domain-containing protein"
"BKA90DRAFT_141564","KAE8170053.1","yeats family-domain-containing protein"
"BKA90DRAFT_141565","KAE8170054.1","hypothetical protein"
"BKA90DRAFT_131010","KAE8170055.1","hypothetical protein"
"BKA90DRAFT_102944","KAE8170056.1","RNA exonuclease 4"
"BKA90DRAFT_41029","KAE8170057.1","ORMDL family-domain-containing protein"
"BKA90DRAFT_141570","KAE8170058.1","hypothetical protein"
"BKA90DRAFT_41057","KAE8170059.1","hypothetical protein"
"BKA90DRAFT_154768","KAE8169982.1","hypothetical protein"
"BKA90DRAFT_42102","KAE8169983.1","hypothetical protein"
"BKA90DRAFT_141574","KAE8169984.1","thiamine diphosphate-binding protein"
"BKA90DRAFT_141575","KAE8169985.1","hypothetical protein"
"BKA90DRAFT_141577","KAE8169986.1","hypothetical protein"
"BKA90DRAFT_117185","KAE8169987.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_141582","KAE8169988.1","hypothetical protein"
"BKA90DRAFT_141584","KAE8169989.1","mitochondrial 54S ribosomal protein YmL23"
"BKA90DRAFT_141586","KAE8169990.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_141587","KAE8169991.1","LrgB-like family-domain-containing protein"
"BKA90DRAFT_42191","KAE8169992.1","Snf7-domain-containing protein"
"BKA90DRAFT_141590","KAE8169993.1","PCI domain-containing protein"
"BKA90DRAFT_176218","KAE8169994.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_141594","KAE8169995.1","alternative oxidase-domain-containing protein"
"BKA90DRAFT_42211","KAE8169996.1","SWR1-complex protein 4"
"BKA90DRAFT_141596","KAE8169997.1","hypothetical protein"
"BKA90DRAFT_141597","KAE8169998.1","kynurenine 3-monooxygenase"
"BKA90DRAFT_141598","KAE8169999.1","chromatin modification-related protein EAF3"
"BKA90DRAFT_141601","KAE8170000.1","protein DSE1"
"BKA90DRAFT_42249","KAE8170001.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_141607","KAE8170002.1","chromatin structure-remodeling complex subunit SFH1"
"BKA90DRAFT_141608","KAE8170003.1","hypothetical protein"
"BKA90DRAFT_141611","KAE8170004.1","hypothetical protein"
"BKA90DRAFT_141612","KAE8170005.1","Dynamin central region-domain-containing protein"
"BKA90DRAFT_141613","KAE8170006.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_141620","KAE8170007.1","fungal-specific transcription factor domain-containing protein"
"BKA90DRAFT_141623","KAE8170008.1","hypothetical protein"
"BKA90DRAFT_148880","KAE8170009.1","transcription initiation factor IID, 18kD subunit-domain-containing protein"
"BKA90DRAFT_141626","KAE8170010.1","hypothetical protein"
"BKA90DRAFT_141628","KAE8170011.1","ClpP/crotonase-like domain-containing protein"
"BKA90DRAFT_158906","KAE8170012.1","hypothetical protein"
"BKA90DRAFT_141630","KAE8170013.1","ATP-dependent RNA helicase DBP3"
"BKA90DRAFT_141631","KAE8170014.1","hypothetical protein"
"BKA90DRAFT_141632","KAE8170015.1","ClpP/crotonase-like domain-containing protein"
"BKA90DRAFT_141633","KAE8170016.1","aconitase family-domain-containing protein"
"BKA90DRAFT_141636","KAE8170017.1","hypothetical protein"
"BKA90DRAFT_141637","KAE8170018.1","hypothetical protein"
"BKA90DRAFT_141642","KAE8170019.1","hypothetical protein"
"BKA90DRAFT_141643","KAE8169941.1","nitrogen permease regulator of amino acid transport activity 3-domain-containing protein"
"BKA90DRAFT_158908","KAE8169942.1","GPR1/FUN34/yaaH family-domain-containing protein"
"BKA90DRAFT_141644","KAE8169943.1","hypothetical protein"
"BKA90DRAFT_141645","KAE8169944.1","hypothetical protein"
